Tweet ID,Tweet Date,Media Name,Media Origin,Teaser Text,Tag Value
1302968016477589504,07-09-2020,El País,Uruguay,segundadivisión fortaleza ataque ramplar juniors terminar invicto rocha,No
1296805148950515713,21-08-2020,El País,Uruguay,jorge lanatar argentino uruguay ir él fracasar,No
1303065732884967426,07-09-2020,El País,Uruguay,raffo montevideano alerta error grueso costoso cosse,No
1302462441520074757,06-09-2020,El País,Uruguay,eco universo joven uruguayo desentraña explicar secreto onda gravitacional,Clickbait
1301763104435589120,04-09-2020,El País,Uruguay,propuesta quinquenal anep aumento presupuesto meta aprendizaje innovación propuesta anep historia ente autónomo fijar meta aprendizaje,No
1300571357714018304,31-08-2020,El País,Uruguay,diego forlán salida peñarol quedar reproche fútbol,No
1300770685577555968,01-09-2020,El País,Uruguay,apertura2020 felipe carballo armar méndez ganar titularidad nacional,No
1276187700618551305,25-06-2020,El País,Uruguay,reseñar temporada the sinner tendencia netflix puro ansiedad,No
1300163947308503042,30-08-2020,El País,Uruguay,apertura2020 boston river salir fondo volver ganar respirar descenso vencer progreso,No
1297586498863235072,23-08-2020,El País,Uruguay,apertura2020 rentista salvar mes minuto frente peñarol,Clickbait
1298708074161557506,26-08-2020,El País,Uruguay,lionel messi paso seguir carrera manchester city lionel messi confirmar decisión manchester city pep guardiola,No
1293982645110681600,13-08-2020,El País,Uruguay,inter miami equipo dirigir tornado diego alonso sumar campeón mundo,Clickbait
1297028854192771072,22-08-2020,El País,Uruguay,lukashenko aislado endurecer represión unión europea reconocer resultado elección fraude anunciar sanción régimen bielorrusia,No
1286349298813280258,23-07-2020,El País,Uruguay,eliminatoria almado repetto candidato dirigir ecuador,No
1285765707196760064,22-07-2020,El País,Uruguay,fútboluruguayo river plate renovó concesión saroldi bautizar tribuna,No
1304042795326476290,10-09-2020,infobae,Argentina,profepa continuar investigar tigre antara inspeccionar domicilio resguardar,No
1301034000765521920,02-09-2020,infobae,Argentina,ligar nahuel guzmán positivo covid19 quinto ocasión tomar humor,Clickbait
1299222942136455168,28-08-2020,infobae,Argentina,dólares sospechoso movimiento vigilar banco central limitar infracción compra usd 200 mensual,Clickbait
1300914734615715845,01-09-2020,Clarín,Argentina,facebook amenaza bloquear opción compartir noticia australia precedente parte mundo,No
1289280302901129217,31-07-2020,infobae,Argentina,microsoft negociar compra tik tok sospechado vínculo régimen chino,No
1292153739579551744,08-08-2020,infobae,Argentina,gobierno lobby washington contratar asesoramiento político millón dólares,No
1293126787594035200,11-08-2020,infobae,Argentina,esposa oficial preso contestar alex saab quejar incomunicado dirección inteligencia esposo secuestrado,No
1292175884858753024,08-08-2020,infobae,Argentina,delantera tigre femenil katty martínez positivo coronavirus arranque torneo,No
1290812652474646528,05-08-2020,infobae,Argentina,alberto fernández respaldar plan consejo agroindustrial foco aumento exportación generación empleo,No
1305504718521851906,14-09-2020,Clarín,Argentina,tacc necesitar comida celíaco,Clickbait
1302281752069763074,05-09-2020,infobae,Argentina,pese anuncio lionel messi luis suárez alejar barcelona jugar juventus ganar temporada,Clickbait
1286665572499906561,24-07-2020,infobae,Argentina,miguel ángel pichetto expresión figura secundario debilitir autoridad presidente,No
1301723424990154752,04-09-2020,infobae,Argentina,ronald koeman elegir capitán barcelona messi decidir ir él club,Clickbait
1301196069271826433,02-09-2020,infobae,Argentina,foto nico él poturalski restaurante esposo conocer bran pitt,Clickbait
1285071825483911168,20-07-2020,infobae,Argentina,deudar gobierno fijar estrategia cerrar bonista wall street negociar fmi club parís,No
1293365345374396417,12-08-2020,infobae,Argentina,fallido refuerzo leeds anticipar destino marcelo bielsa,Clickbait
1281093614521606144,09-07-2020,infobae,Argentina,garantizar faltar billete semana tensión bcra banco,No
1300956912096284678,02-09-2020,infobae,Argentina,salir luz viejo interno vestuario psg unai emery problema manejar estrella,Clickbait
1299895101087506432,30-08-2020,infobae,Argentina,crisis venir herrera anticipar recorte presupuesto aumento deuda,No
1279815939450519553,05-07-2020,infobae,Argentina,zinedine zidane hablar polémica arbitraje real madrid cansado,No
1277640353483386891,29-06-2020,infobae,Argentina,oficial concretar trueque arthurpjanic barcelona juventus oficial barcelona traspasar arthur juventus,No
1298901026200838145,27-08-2020,infobae,Argentina,codi medio pago contacto tiempo covid,No
1285730864543010818,22-07-2020,infobae,Argentina,equipo premier sudamericano adoptar mate infusión diario,Clickbait
1266039792287940608,28-05-2020,infobae,Argentina,coronavirus frontera paciente llegar méxico saturar hospital california,No
1299440734341345280,28-08-2020,infobae,Argentina,coronavirus impactar hombre científico empezar comprender apoorva mandavilli,Clickbait
1269504497916637185,07-06-2020,infobae,Argentina,revancha real brasil revalúa ayuda distender mercado cambio local,No
1299153397313163265,28-08-2020,infobae,Argentina,margaritar cabello mujer convertir él procuradora general colombia,No
1262517705682251776,18-05-2020,infobae,Argentina,sur florida comenzar reapertura gradual mantener clausurada playa,No
1260280093605113856,12-05-2020,infobae,Argentina,dragón azul extraño criatura venenós aparecer playa texas,Clickbait
1269332238279172096,06-06-2020,infobae,Argentina,estremecedor gesto partido bundesliga pedido justicia muerte george floyd unidos,Clickbait
1301117773175808000,02-09-2020,infobae,Argentina,ansiedad insomnio ingreso impacto pandemia profesional salud,No
1263715347766538240,22-05-2020,infobae,Argentina,argentina ingresar default invisible mercado,No
1241211690382811136,21-03-2020,infobae,Argentina,cine autor casa película podés perder,Clickbait
1297367455594094593,23-08-2020,infobae,Argentina,méxico producir aguacate mundo subsecretacer comercio exterior,No
1047587607679356928,03-10-2018,infobae,Argentina,desarrollar españa cápsula futuro tren hyperloop,No
1009469105487794176,20-06-2018,infobae,Argentina,advertir falla seguridad google home chromecast solucionar él,Clickbait
1289313819689279488,31-07-2020,Clarín,Argentina,detener hacker año ciberataque masivo twitter,No
1288914891634388992,30-07-2020,Clarín,Argentina,colágeno hidrolizado convenir tomar suplemento,Clickbait
1301227318610931714,02-09-2020,Clarín,Argentina,josé lópez unificar pena deber afrontar año cárcel,No
1287721686482247684,27-07-2020,Clarín,Argentina,coronavirus cárcel federal muerte 141 caso positivo,No
1286424716065087489,23-07-2020,Clarín,Argentina,modisto abogado asesino convicto embajador mafia calabrés argentina,Clickbait
1300435952414982145,31-08-2020,Clarín,Argentina,costo declaración independencia lionel messi,Clickbait
1262698986466574337,19-05-2020,Clarín,Argentina,estudio advertir celular caballo troya coronavirus,No
1278364039509352455,01-07-2020,Clarín,Argentina,rocío olivo meter pelea diego maradona hija,No
1292186253878857728,08-08-2020,Clarín,Argentina,ciudad avanzar habilitar espacio común edificio definir protocolo parrilla sum,No
1291683755757834243,07-08-2020,Clarín,Argentina,coronavirus enfermero fernández muerto recuperar volver trabajar,Clickbait
1254543284833341440,26-04-2020,Clarín,Argentina,buscar él casa forcejeo matar hijo año,No
1283801134042406912,16-07-2020,Clarín,Argentina,franquicia crisis cerrar local,No
1295668216740577282,18-08-2020,La Nación,Argentina,doble rol juego sergio massa tercer partener alianza gobernante,Clickbait
1303143524083343360,08-09-2020,La Nación,Argentina,coronavirus argentina superar barrera 10000 muerte argentina superar 10000 muerte coronavirus,No
1247518093930156036,07-04-2020,Clarín,Argentina,detener hermana ester alvarado principal líder narco rosario,No
1246469185888063488,04-04-2020,Clarín,Argentina,coronavirus argentina foco puesto cajero clave consejo evitar robo dato tarjeta,Clickbait
1300171691084054528,30-08-2020,Clarín,Argentina,incendio ataque mapuch chile huelga camionero exigir protección sur país,No
1274065678572511232,19-06-2020,La Nación,Argentina,pixelar cara borrar metadato foto tecnología usado protesta eeuu,No
1227745494081908736,13-02-2020,Clarín,Argentina,asalto shopping soleil vínculo crimen turista inglés puerto madero,Clickbait
1238782629056598016,14-03-2020,Clarín,Argentina,sapien cautivo adn,No
1270768832404062208,10-06-2020,La Nación,Argentina,android google lanzar versión beta función,Clickbait
1159221303267778561,07-08-2019,Clarín,Argentina,galaxy note lanzar celular extra large recarga ultraveloz,No
1239881052094513153,17-03-2020,Clarín,Argentina,advertir niño adolescente consumir pantalla,No
1148661324949401600,09-07-2019,Clarín,Argentina,netflix hacer serie basado videojuego cuphead cuphead videojuego éxito microsoft versión adaptado netflix,No
1283177804843098112,14-07-2020,Clarín,Argentina,coronavirus argentina reportar muerto 3645 caso hora,No
1283104177204400128,14-07-2020,Clarín,Argentina,amigo alerta festejar cuarentena advertir provincia aires,No
1209609001790590983,24-12-2019,Clarín,Argentina,desesperado búsqueda ginecólogo cordobés familia ofrecer 100 mil recompensa,No
1266379526801461251,29-05-2020,La Nación,Argentina,capítulo youtube función organizar reproducción video,Clickbait
1301921321958469633,04-09-2020,Clarín,Argentina,rechazar dictar medida cautelar revisión traslado juez germar castelli,No
1254942407877066752,28-04-2020,Clarín,Argentina,mirko malo palabra marley compartir conmovedor video nacimiento,Clickbait
1278419250248667140,01-07-2020,Clarín,Argentina,coronavirus argentina relevamiento mostrar economía preocupar salud familia,No
1283463276920213506,15-07-2020,Clarín,Argentina,atleta argentino lugar juego tokio positivo coronavirus,Clickbait
1185625689946505217,19-10-2019,Clarín,Argentina,caer sicario buscado rosario,Clickbait
1287933481834745857,28-07-2020,La Nación,Argentina,ife alfredo cornejo denunciar irregularidad pago apuntar fernanda ravertar fondo cornejo apuntar raverta irregularidad pago ife,No
1288819594594070533,30-07-2020,La Nación,Argentina,éxodo confirmado bautista ezcurrir exback jaguares jugar atlanta rugby unidos éxodo bautista ezcurra back jaguares jugar atlanta rugby unidos,No
